"Date","Account value"
"09/29/2020","0.00"
"09/30/2020","0.00"
"10/01/2020","0.00"
"10/02/2020","0.00"
"10/05/2020","0.00"
"10/06/2020","0.00"
"10/07/2020","0.00"
"10/08/2020","0.00"
"10/09/2020","0.00"
"10/12/2020","0.00"
"10/13/2020","0.00"
"10/14/2020","0.00"
"10/15/2020","0.00"
"10/16/2020","0.00"
"10/19/2020","0.00"
"10/20/2020","0.00"
"10/21/2020","9,748.00"
"10/22/2020","9,748.00"
"10/23/2020","9,752.59"
"10/26/2020","9,698.11"
"10/27/2020","9,730.69"
"10/28/2020","9,558.33"
"10/29/2020","9,669.77"
"10/30/2020","9,566.34"
"11/02/2020","9,672.89"
"11/03/2020","9,737.37"
"11/04/2020","15,841.79"
"11/05/2020","15,952.87"
"11/06/2020","16,035.25"
"11/09/2020","16,051.10"
"11/10/2020","15,755.13"
"11/11/2020","15,940.57"
"11/12/2020","15,933.54"
"11/13/2020","16,102.81"
"11/16/2020","16,255.87"
"11/17/2020","16,475.25"
"11/18/2020","16,295.94"
"11/19/2020","16,645.33"
"11/20/2020","16,867.95"
"11/23/2020","17,661.91"
"11/24/2020","18,094.91"
"11/25/2020","18,255.18"
"11/26/2020","18,255.18"
"11/27/2020","18,212.67"
"11/30/2020","18,384.87"
"12/01/2020","18,328.88"
"12/02/2020","18,296.13"
"12/03/2020","18,515.90"
"12/04/2020","18,538.87"
"12/07/2020","18,852.72"
"12/08/2020","18,808.35"
"12/09/2020","18,359.00"
"12/10/2020","18,717.11"
"12/11/2020","18,627.74"
"12/14/2020","18,702.72"
"12/15/2020","19,066.57"
"12/16/2020","19,284.49"
"12/17/2020","19,701.75"
"12/18/2020","19,700.28"
"12/21/2020","20,010.98"
"12/22/2020","20,244.42"
"12/23/2020","20,152.07"
"12/24/2020","19,856.33"
"12/25/2020","19,856.33"
"12/28/2020","19,918.40"
"12/29/2020","19,846.30"
"12/30/2020","20,307.47"
"12/31/2020","20,153.72"
"01/01/2021","20,153.72"
"01/04/2021","20,276.63"
"01/05/2021","20,933.56"
"01/06/2021","21,300.41"
"01/07/2021","22,200.00"
"01/08/2021","22,573.73"
"01/11/2021","29,084.32"
"01/12/2021","29,371.40"
"01/13/2021","29,336.01"
"01/14/2021","29,790.48"
"01/15/2021","28,941.37"
"01/18/2021","28,941.37"
"01/19/2021","29,499.69"
"01/20/2021","29,362.61"
"01/21/2021","29,081.36"
"01/22/2021","29,634.15"
"01/25/2021","29,563.41"
"01/26/2021","29,558.53"
"01/27/2021","30,026.32"
"01/28/2021","28,640.86"
"01/29/2021","29,431.79"
"02/01/2021","29,413.60"
"02/02/2021","28,651.99"
"02/03/2021","28,895.75"
"02/04/2021","28,735.32"
"02/05/2021","29,093.71"
"02/08/2021","30,291.03"
"02/09/2021","30,916.83"
"02/10/2021","30,390.62"
"02/11/2021","30,690.20"
"02/12/2021","30,858.15"
"02/15/2021","30,858.15"
"02/16/2021","30,972.86"
"02/17/2021","30,968.84"
"02/18/2021","29,914.84"
"02/19/2021","30,862.41"
"02/22/2021","29,495.70"
"02/23/2021","28,374.20"
"02/24/2021","28,900.28"
"02/25/2021","27,235.69"
"02/26/2021","27,037.66"
"03/01/2021","28,391.00"
"03/02/2021","27,407.21"
"03/03/2021","26,529.93"
"03/04/2021","25,422.62"
"03/05/2021","25,273.51"
"03/08/2021","24,495.99"
"03/09/2021","26,602.51"
"03/10/2021","26,556.99"
"03/11/2021","28,184.33"
"03/12/2021","28,101.59"
"03/15/2021","28,462.13"
"03/16/2021","27,752.11"
"03/17/2021","28,036.72"
"03/18/2021","26,845.62"
"03/19/2021","27,190.89"
"03/22/2021","27,206.67"
"03/23/2021","26,448.03"
"03/24/2021","25,180.40"
"03/25/2021","25,610.13"
"03/26/2021","25,585.05"
"03/29/2021","25,059.76"
"03/30/2021","25,773.94"
"03/31/2021","30,433.02"
"04/01/2021","30,800.13"
"04/02/2021","30,800.13"
"04/05/2021","30,898.71"
"04/06/2021","31,196.93"
"04/07/2021","30,653.42"
"04/08/2021","31,069.43"
"04/09/2021","30,979.08"
"04/12/2021","30,852.22"
"04/13/2021","31,390.46"
"04/14/2021","31,173.70"
"04/15/2021","31,137.99"
"04/16/2021","31,149.13"
"04/19/2021","30,665.71"
"04/20/2021","30,115.36"
"04/21/2021","30,844.77"
"04/22/2021","30,775.35"
"04/23/2021","31,436.71"
