Date,Amount
"1/2/2026","$119,909.83"
"1/1/2026","$119,880.70"
"12/31/2025","$119,880.70"
"12/30/2025","$120,136.97"
"12/29/2025","$120,515.57"
"12/28/2025","$120,793.24"
"12/27/2025","$120,793.24"
"12/26/2025","$120,793.24"
"12/25/2025","$120,767.20"
"12/24/2025","$120,767.20"
"12/23/2025","$120,462.22"
"12/22/2025","$120,132.82"
"12/21/2025","$119,685.84"
"12/20/2025","$119,685.84"
"12/19/2025","$119,685.84"
"12/18/2025","$119,126.44"
"12/17/2025","$118,648.19"
"12/16/2025","$119,458.81"
"12/15/2025","$119,582.46"
"12/14/2025","$119,797.77"
"12/13/2025","$119,797.77"
"12/12/2025","$119,797.77"
"12/11/2025","$120,614.21"
"12/10/2025","$120,482.77"
"12/9/2025","$119,945.30"
"12/8/2025","$119,967.55"
"12/7/2025","$120,136.69"
"12/6/2025","$120,136.69"
"12/5/2025","$120,136.69"
"12/4/2025","$120,013.68"
"12/3/2025","$119,968.47"
"12/2/2025","$119,695.85"
"12/1/2025","$119,369.83"
"11/30/2025","$119,771.20"
"11/29/2025","$119,771.20"
"11/28/2025","$119,771.20"
"11/27/2025","$119,320.16"
"11/26/2025","$119,320.16"
"11/25/2025","$118,712.74"
"11/24/2025","$118,075.17"
"11/23/2025","$116,948.64"
"11/22/2025","$116,948.64"
"11/21/2025","$116,948.64"
"11/20/2025","$116,341.34"
"11/19/2025","$117,524.78"
"11/18/2025","$117,373.56"
"11/17/2025","$117,934.09"
"11/16/2025","$118,697.72"
"11/15/2025","$118,697.72"
"11/14/2025","$118,697.72"
"11/13/2025","$118,801.22"
"11/12/2025","$120,174.46"
"11/11/2025","$120,175.58"
"11/10/2025","$120,091.81"
"11/9/2025","$118,969.28"
"11/8/2025","$118,969.28"
"11/7/2025","$118,969.28"
"11/6/2025","$118,828.94"
"11/5/2025","$119,660.62"
"11/4/2025","$119,378.37"
"11/3/2025","$120,514.24"
"11/2/2025","$120,375.49"
"11/1/2025","$120,375.49"
"10/31/2025","$120,375.49"
"10/30/2025","$119,960.70"
"10/29/2025","$120,843.54"
"10/28/2025","$120,873.05"
"10/27/2025","$120,708.14"
"10/26/2025","$119,765.84"
"10/25/2025","$119,765.84"
"10/24/2025","$119,765.84"
"10/23/2025","$119,162.70"
"10/22/2025","$118,687.96"
"10/21/2025","$119,139.97"
"10/20/2025","$119,114.12"
"10/19/2025","$118,284.17"
"10/18/2025","$118,284.17"
"10/17/2025","$118,284.17"
"10/16/2025","$117,912.97"
"10/15/2025","$118,453.09"
"10/14/2025","$118,169.41"
"10/13/2025","$118,325.17"
"10/12/2025","$117,288.67"
"10/11/2025","$117,288.67"
"10/10/2025","$117,288.67"
"10/9/2025","$119,273.63"
"10/8/2025","$119,527.15"
"10/7/2025","$119,066.12"
"10/6/2025","$119,409.34"
"10/5/2025","$119,091.59"
"10/4/2025","$119,091.59"
"10/3/2025","$119,091.59"
"10/2/2025","$119,035.65"
"10/1/2025","$118,868.73"
"9/30/2025","$118,555.11"
"9/29/2025","$118,502.14"
"9/28/2025","$117,887.80"
"9/27/2025","$117,887.80"
"9/26/2025","$117,887.80"
"9/25/2025","$117,633.83"
"9/24/2025","$118,279.53"
"9/23/2025","$118,200.21"
"9/22/2025","$118,390.24"
"9/21/2025","$118,311.99"
"9/20/2025","$118,311.99"
"9/19/2025","$118,311.99"
"9/18/2025","$118,100.02"
"9/17/2025","$117,581.46"
"9/16/2025","$117,695.65"
"9/15/2025","$117,557.94"
"9/14/2025","$117,314.66"
"9/13/2025","$117,314.66"
"9/12/2025","$117,314.66"
"9/11/2025","$117,393.71"
"9/10/2025","$116,697.74"
"9/9/2025","$116,420.73"
"9/8/2025","$116,064.93"
"9/7/2025","$115,883.33"
"9/6/2025","$115,883.33"
"9/5/2025","$115,883.33"
"9/4/2025","$116,040.92"
"9/3/2025","$115,618.67"
"9/2/2025","$115,744.87"
"9/1/2025","$115,743.28"
"8/31/2025","$115,743.28"
"8/30/2025","$115,743.28"
"8/29/2025","$115,743.28"
"8/28/2025","$115,837.17"
"8/27/2025","$115,753.79"
"8/26/2025","$115,708.40"
"8/25/2025","$115,543.40"
"8/24/2025","$115,744.83"
"8/23/2025","$115,744.83"
"8/22/2025","$115,744.83"
"8/21/2025","$114,494.81"
"8/20/2025","$114,697.57"
"8/19/2025","$114,831.53"
"8/18/2025","$115,801.78"
"8/17/2025","$115,848.20"
"8/16/2025","$115,848.20"
"8/15/2025","$115,848.20"
"8/14/2025","$115,929.28"
"8/13/2025","$116,440.48"
"8/12/2025","$115,995.87"
"8/11/2025","$115,147.39"
"8/10/2025","$115,384.05"
"8/9/2025","$115,384.05"
"8/8/2025","$115,384.05"
"8/7/2025","$115,135.19"
"8/6/2025","$116,129.46"
"8/5/2025","$115,989.16"
"8/4/2025","$115,814.60"
"8/3/2025","$114,622.03"
"8/2/2025","$114,622.03"
"8/1/2025","$114,622.03"
"7/31/2025","$115,880.25"
"7/30/2025","$116,233.57"
"7/29/2025","$116,200.63"
"7/28/2025","$116,580.53"
"7/27/2025","$116,054.14"
"7/26/2025","$116,054.14"
"7/25/2025","$116,054.14"
"7/24/2025","$115,814.81"
"7/23/2025","$115,872.69"
"7/22/2025","$115,158.70"
"7/21/2025","$115,168.35"
"7/20/2025","$115,207.83"
"7/19/2025","$115,207.83"
"7/18/2025","$115,207.83"
"7/17/2025","$115,496.29"
"7/16/2025","$114,930.16"
"7/15/2025","$114,504.20"
"7/14/2025","$114,350.98"
"7/13/2025","$113,910.85"
"7/12/2025","$113,910.85"
"7/11/2025","$113,910.85"
"7/10/2025","$114,073.33"
"7/9/2025","$113,847.67"
"7/8/2025","$113,577.40"
"7/7/2025","$113,374.47"
"7/6/2025","$113,840.42"
"7/5/2025","$113,840.42"
"7/4/2025","$113,840.42"
"7/3/2025","$113,840.42"
"7/2/2025","$117,901.38"
"7/1/2025","$117,547.90"
"6/30/2025","$117,465.27"
"6/29/2025","$116,976.16"
"6/28/2025","$116,976.16"
"6/27/2025","$116,976.16"
"6/26/2025","$117,095.99"
"6/25/2025","$116,497.75"
"6/24/2025","$116,293.18"
"6/23/2025","$115,068.67"
"6/22/2025","$115,008.81"
"6/21/2025","$115,008.81"
"6/20/2025","$115,008.81"
"6/19/2025","$115,179.38"
"6/18/2025","$115,179.38"
"6/17/2025","$115,185.54"
"6/16/2025","$115,864.31"
"6/15/2025","$114,765.36"
"6/14/2025","$114,765.36"
"6/13/2025","$114,765.36"
"6/12/2025","$115,710.69"
"6/11/2025","$116,042.26"
"6/10/2025","$115,809.50"
"6/9/2025","$115,593.43"
"6/8/2025","$115,256.30"
"6/7/2025","$115,256.30"
"6/6/2025","$115,256.30"
"6/5/2025","$114,553.43"
"6/4/2025","$114,976.74"
"6/3/2025","$114,815.13"
"6/2/2025","$114,467.29"
"6/1/2025","$114,038.93"
"5/31/2025","$114,038.93"
"5/30/2025","$114,038.93"
"5/29/2025","$114,290.74"
"5/28/2025","$114,110.98"
"5/27/2025","$114,198.64"
"5/26/2025","$113,065.68"
"5/25/2025","$113,065.68"
"5/24/2025","$113,065.68"
"5/23/2025","$113,065.68"
"5/22/2025","$113,596.10"
"5/21/2025","$113,330.89"
"5/20/2025","$114,523.15"
"5/19/2025","$114,761.05"
"5/18/2025","$114,896.80"
"5/17/2025","$114,896.80"
"5/16/2025","$114,896.80"
"5/15/2025","$114,548.01"
"5/14/2025","$115,047.39"
"5/13/2025","$114,310.53"
"5/12/2025","$112,603.95"
"5/11/2025","$109,861.43"
"5/10/2025","$109,861.43"
"5/9/2025","$109,861.43"
"5/8/2025","$109,998.11"
"5/7/2025","$108,198.51"
"5/6/2025","$108,127.03"
"5/5/2025","$109,083.64"
"5/4/2025","$109,333.99"
"5/3/2025","$109,333.99"
"5/2/2025","$109,333.99"
"5/1/2025","$107,395.35"
"4/30/2025","$106,807.26"
"4/29/2025","$106,932.00"
"4/28/2025","$106,587.87"
"4/27/2025","$106,424.45"
"4/26/2025","$106,424.45"
"4/25/2025","$106,424.45"
"4/24/2025","$105,699.33"
"4/23/2025","$103,666.21"
"4/22/2025","$102,025.73"
"4/21/2025","$100,000.42"
"4/20/2025","$101,270.31"
"4/19/2025","$101,270.31"
"4/18/2025","$101,270.31"
"4/17/2025","$101,270.31"
"4/16/2025","$100,735.18"
"4/15/2025","$102,421.58"
"4/14/2025","$102,345.23"
"4/13/2025","$101,591.15"
"4/12/2025","$101,591.15"
"4/11/2025","$101,591.15"
"4/10/2025","$100,488.90"
"4/9/2025","$102,778.69"
"4/8/2025","$96,465.86"
"4/7/2025","$97,395.88"
"4/6/2025","$97,433.92"
"4/5/2025","$97,433.92"
"4/4/2025","$97,433.92"
"4/3/2025","$75,183.78"
"4/2/2025","$77,675.57"
"4/1/2025","$77,244.92"
"3/31/2025","$76,762.13"
"3/30/2025","$76,855.55"
"3/29/2025","$76,855.55"
"3/28/2025","$76,855.55"
"3/27/2025","$78,213.19"
"3/26/2025","$78,184.74"
"3/25/2025","$79,147.83"
"3/24/2025","$79,238.44"
"3/23/2025","$78,298.13"
"3/22/2025","$78,298.13"
"3/21/2025","$78,298.13"
"3/20/2025","$78,206.33"
"3/19/2025","$78,735.27"
"3/18/2025","$78,055.13"
"3/17/2025","$79,053.84"
"3/16/2025","$78,136.23"
"3/15/2025","$78,136.23"
"3/14/2025","$78,136.23"
"3/13/2025","$76,580.76"
"3/12/2025","$77,537.58"
"3/11/2025","$77,035.09"
"3/10/2025","$76,718.53"
"3/9/2025","$78,403.18"
"3/8/2025","$78,403.18"
"3/7/2025","$78,403.18"
"3/6/2025","$78,017.78"
"3/5/2025","$79,260.17"
"3/4/2025","$77,801.03"
